Partition function;Beta;Energy of each Configuration;Unique energy levels
1071.05241018165;0.1;-9.0;-9.0
1081.1843624071603;0.11;-7.0;-7.0
1092.3830576608875;0.12;-5.0;-5.0
1104.6773258866756;0.13;-7.0;-3.0
1118.0989796780214;0.13999999999999999;-5.0;-1.0
1132.6829400467373;0.14999999999999997;-3.0;1.0
1148.467375083003;0.15999999999999998;-5.0;3.0
1165.4938522106986;0.16999999999999998;-7.0;5.0
1183.8075048137143;0.17999999999999997;-5.0;7.0
1203.4572140853265;0.18999999999999995;-3.0;9.0
1224.4958070342336;0.19999999999999996;-1.0;
1246.9802716679549;0.20999999999999996;-3.0;
1270.9719904675317;0.21999999999999995;-5.0;
1296.536993367425;0.22999999999999995;-3.0;
1323.7462315618313;0.23999999999999994;-5.0;
1352.6758735739627;0.24999999999999992;-7.0;
1383.407625148921;0.2599999999999999;-5.0;
1416.0290746644503;0.2699999999999999;-3.0;
1450.63406589785;0.2799999999999999;-1.0;
1487.3231001427075;0.2899999999999999;-3.0;
1526.2037698367576;0.29999999999999993;-1.0;
1567.3912260432537;0.30999999999999994;1.0;
1611.0086823238862;0.3199999999999999;-1.0;
1657.1879577527845;0.32999999999999985;-3.0;
1706.0700620498799;0.33999999999999986;-5.0;
1757.8058260593752;0.34999999999999987;-3.0;
1812.5565810669375;0.3599999999999999;-1.0;
1870.4948907391772;0.3699999999999999;-3.0;
1931.8053397830668;0.3799999999999999;-5.0;
1996.6853837631297;0.3899999999999999;-3.0;
2065.346264882864;0.3999999999999998;-5.0;
2138.013998936416;0.4099999999999998;-7.0;
2214.930439069599;0.4199999999999998;-5.0;
2296.354422459006;0.4299999999999998;-3.0;
2382.5630065272508;0.43999999999999984;-1.0;
2473.852801864825;0.44999999999999984;-3.0;
2570.5414096283967;0.45999999999999985;-1.0;
2672.9689718357504;0.46999999999999986;1.0;
2781.4998436833084;0.47999999999999976;-1.0;
2896.5243977783366;0.48999999999999977;-3.0;
3018.460971009499;0.4999999999999998;-1.0;
3147.757965682523;0.5099999999999998;1.0;
3284.8961175281866;0.5199999999999998;3.0;
3430.390944254823;0.5299999999999998;1.0;
3584.795389474232;0.5399999999999998;-1.0;
3748.7026780865253;0.5499999999999998;1.0;
3922.749400574626;0.5599999999999997;-1.0;
4107.618845142704;0.5699999999999997;-3.0;
4304.044598244969;0.5799999999999997;-5.0;
4512.814435803493;0.5899999999999997;-3.0;
4734.774529318378;0.5999999999999998;-1.0;
4970.8339931441715;0.6099999999999998;-3.0;
5221.969801457655;0.6199999999999998;-1.0;
5489.232105889983;0.6299999999999997;1.0;
5773.749987458155;0.6399999999999997;-1.0;
6076.737679325915;0.6499999999999997;-3.0;
6399.501300073256;0.6599999999999997;-5.0;
6743.446140579173;0.6699999999999997;-3.0;
7110.084551349116;0.6799999999999997;-1.0;
7501.044481173227;0.6899999999999997;-3.0;
7918.078722413627;0.6999999999999996;-5.0;
8363.074923020336;0.7099999999999996;-3.0;
8838.066430600898;0.7199999999999996;-5.0;
9345.244039556395;0.7299999999999996;-7.0;
9886.968718487758;0.7399999999999997;-5.0;
10465.785401815958;0.7499999999999997;-3.0;
11084.437936897744;0.7599999999999997;-1.0;
11745.885285908014;0.7699999999999997;-3.0;
12453.319090460045;0.7799999999999997;-1.0;
13210.182716408972;0.7899999999999996;1.0;
14020.19190660249;0.7999999999999996;-1.0;
14887.357180581137;0.8099999999999996;-3.0;
15816.008132472754;0.8199999999999996;-1.0;
16810.819791661102;0.8299999999999996;1.0;
17876.841225337463;0.8399999999999996;3.0;
19019.5265778729;0.8499999999999996;1.0;
20244.768759196602;0.8599999999999995;-1.0;
21558.9360131599;0.8699999999999996;1.0;
22968.911617346883;0.8799999999999996;-1.0;
24482.136988114362;0.8899999999999996;-3.0;
26106.658488972018;0.8999999999999996;-1.0;
27851.178266932096;0.9099999999999996;1.0;
29725.109470364237;0.9199999999999996;3.0;
31738.636233403293;0.9299999999999996;1.0;
33902.778846313035;0.9399999999999996;3.0;
36229.46456866525;0.9499999999999995;5.0;
38731.60458303579;0.9599999999999995;3.0;
41423.17763145128;0.9699999999999995;1.0;
44319.320925387154;0.9799999999999995;-1.0;
47436.42897307681;0.9899999999999995;1.0;
50792.26102565551;0.9999999999999996;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;7.0;
;;9.0;
;;7.0;
;;5.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-7.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;5.0;
;;7.0;
;;9.0;
;;7.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;5.0;
;;7.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;5.0;
;;3.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;1.0;
;;3.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;1.0;
;;-1.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-3.0;
;;-1.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-5.0;
;;-3.0;
;;-5.0;
;;-7.0;
;;-5.0;
;;-7.0;
;;-9.0;
